"타임스탬프","1. 현재 사용 중인 핸드폰 브랜드를 고르세요","현재 나이에 해당하는 구간을 고르세요","2. 핸드폰을 고를 때 디자인을 고려하는 점수","3. 핸드폰을 고를 때 성능을 고려하는 점수(카메라, 속도, 베터리 지속시간, 내구성 포함)","4. 핸드폰을 고를 때 가격을 고려하는 점수","5. 핸드폰을 고를 때 편의성을 고려하는 점수(어플 종류, 삼성페이 등)","6. 핸드폰의 브랜드 이미지를 고려하는 점수"
"2022/09/28 5:01:11 오후 GMT+9","갤럭시","10대","3","10","2","10","4"
"2022/09/28 5:43:17 오후 GMT+9","갤럭시","10대","2","10","7","10","6"
"2022/09/28 5:43:57 오후 GMT+9","아이폰","10대","10","9","5","7","10"
"2022/09/28 5:46:00 오후 GMT+9","아이폰","10대","9","10","8","1","10"
"2022/09/28 5:46:26 오후 GMT+9","갤럭시","10대","7","9","7","10","10"
"2022/09/28 5:50:07 오후 GMT+9","갤럭시","10대","3","10","6","9","7"
"2022/09/28 6:02:15 오후 GMT+9","갤럭시","10대","8","10","9","6","9"
"2022/09/28 6:07:29 오후 GMT+9","아이폰","50대 이상","1","1","1","1","1"
"2022/09/28 6:09:57 오후 GMT+9","갤럭시","10대","10","10","6","6","1"
"2022/09/28 6:34:04 오후 GMT+9","갤럭시","10대","9","10","10","6","5"
"2022/09/28 6:42:34 오후 GMT+9","아이폰","10대","10","10","2","10","10"
"2022/09/28 6:58:03 오후 GMT+9","갤럭시","10대","6","10","8","7","8"
"2022/09/28 6:58:05 오후 GMT+9","아이폰","10대","5","10","10","4","9"
"2022/09/28 7:02:25 오후 GMT+9","갤럭시","50대 이상","9","8","6","9","10"
"2022/09/28 7:04:40 오후 GMT+9","갤럭시","50대 이상","10","10","10","10","10"
"2022/09/28 7:09:39 오후 GMT+9","갤럭시","10대","8","8","5","9","6"
"2022/09/28 7:57:25 오후 GMT+9","아이폰","10대","10","10","6","7","10"
"2022/09/28 8:07:20 오후 GMT+9","아이폰","10대","8","8","8","8","8"
"2022/09/28 8:11:23 오후 GMT+9","아이폰","10대","9","7","6","1","8"
"2022/09/28 8:15:25 오후 GMT+9","아이폰","10대","9","2","7","5","10"
"2022/09/28 8:54:36 오후 GMT+9","아이폰","50대 이상","1","1","1","1","1"
"2022/09/28 10:25:09 오후 GMT+9","갤럭시","10대","8","9","7","10","6"
"2022/09/28 11:18:14 오후 GMT+9","갤럭시","10대","8","10","10","9","7"
"2022/09/29 9:18:24 오후 GMT+9","갤럭시","10대","10","10","1","10","10"
"2022/10/01 11:15:13 오전 GMT+9","갤럭시","40대","4","9","8","8","8"
"2022/10/26 7:06:35 오후 GMT+9","갤럭시","50대 이상","1","10","1","10","3"